symbol,tier,source_category,categories,scan_priority,scanner_frequency,classification_basis
APLS,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
MDGL,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
RVMD,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
FOLD,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
BILL,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
AFRM,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
UPST,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
ROKU,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
FROG,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
CELH,Tier 2,growth,Consumer|Growth|Momentum,70,regular,"curated growth opportunity bucket mapped to Consumer, Growth, Momentum"
ELF,Tier 2,growth,Consumer|Growth|Momentum,70,regular,"curated growth opportunity bucket mapped to Consumer, Growth, Momentum"
CAVA,Tier 2,growth,Consumer|Growth|Momentum,70,regular,"curated growth opportunity bucket mapped to Consumer, Growth, Momentum"
ONON,Tier 2,growth,Consumer|Growth,70,regular,"curated growth opportunity bucket mapped to Consumer, Growth"
RIVN,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
LCID,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
GM,Tier 2,growth,Consumer|Growth,70,regular,"curated growth opportunity bucket mapped to Consumer, Growth"
F,Tier 2,growth,Consumer|Growth,70,regular,"curated growth opportunity bucket mapped to Consumer, Growth"
DKNG,Tier 2,growth,Consumer|Growth,70,regular,"curated growth opportunity bucket mapped to Consumer, Growth"
PINS,Tier 2,growth,Consumer|Growth,70,regular,"curated growth opportunity bucket mapped to Consumer, Growth"
SNAP,Tier 2,growth,Consumer|Growth,70,regular,"curated growth opportunity bucket mapped to Consumer, Growth"
RDDT,Tier 2,growth,Consumer|Growth,70,regular,"curated growth opportunity bucket mapped to Consumer, Growth"
SOFI,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
NU,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
FOUR,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
GLOB,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
MNDY,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
XYZ,Tier 2,growth,Growth,70,regular,curated growth opportunity bucket mapped to Growth
FSLR,Tier 2,momentum_midcap,Mid Cap|Energy|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Energy, Momentum"
ENPH,Tier 2,momentum_midcap,Mid Cap|Energy|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Energy, Momentum"
WOLF,Tier 2,momentum_midcap,Mid Cap|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Momentum"
ACLS,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
AEHR,Tier 2,momentum_midcap,Mid Cap|Small Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Small Cap, Semiconductor, Momentum"
CAMT,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
SITM,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
ON,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
NXPI,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
MP,Tier 2,momentum_midcap,Mid Cap|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Momentum"
ALB,Tier 2,momentum_midcap,Mid Cap|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Momentum"
PYPL,Tier 2,momentum_midcap,Mid Cap|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Momentum"
DOCN,Tier 2,momentum_midcap,Mid Cap|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Momentum"
TENB,Tier 2,momentum_midcap,Mid Cap|Cybersecurity|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Cybersecurity, Momentum"
S,Tier 2,momentum_midcap,Mid Cap|Cybersecurity|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Cybersecurity, Momentum"
IOT,Tier 2,momentum_midcap,Mid Cap|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Momentum"
SMR,Tier 2,momentum_midcap,Mid Cap|Small Cap|Energy|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Small Cap, Energy, Momentum"
NNE,Tier 2,momentum_midcap,Mid Cap|Small Cap|Energy|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Small Cap, Energy, Momentum"
BE,Tier 2,momentum_midcap,Mid Cap|Energy|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Energy, Momentum"
FLNC,Tier 2,momentum_midcap,Mid Cap|Energy|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Energy, Momentum"
ARRY,Tier 2,momentum_midcap,Mid Cap|Energy|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Energy, Momentum"
RUN,Tier 2,momentum_midcap,Mid Cap|Energy|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Energy, Momentum"
NXT,Tier 2,momentum_midcap,Mid Cap|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Momentum"
BLDR,Tier 2,momentum_midcap,Mid Cap|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Momentum"
FIX,Tier 2,momentum_midcap,Mid Cap|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Momentum"
ONTO,Tier 2,momentum_midcap,Mid Cap|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Momentum"
LSCC,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
MTSI,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
POWI,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
RMBS,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
NVMI,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
SYNA,Tier 2,momentum_midcap,Mid Cap|Semiconductor|Momentum,70,regular,"curated momentum_midcap opportunity bucket mapped to Mid Cap, Semiconductor, Momentum"
BIRK,Tier 2,emerging_leaders,Growth|Momentum,70,regular,"curated emerging_leaders opportunity bucket mapped to Growth, Momentum"
KVYO,Tier 2,emerging_leaders,Growth|Momentum,70,regular,"curated emerging_leaders opportunity bucket mapped to Growth, Momentum"
CART,Tier 2,emerging_leaders,Growth|Momentum,70,regular,"curated emerging_leaders opportunity bucket mapped to Growth, Momentum"
CRAI,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
RL,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SFBS,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
FBIZ,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
FANG,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SUPN,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
AURE,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
FWRG,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ADVB,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
IQST,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TXNM,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TTEK,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
KEX,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
PXED,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
GCO,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SLGN,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SJ,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
FDBC,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TPCS,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SM,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
PKOH,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
CHGG,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
AOSL,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
A,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SANG,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
RACC,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
OUT,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
AACI,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
FNWD,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
AGEN,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ICLR,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
HOV,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TRNR,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
MMYT,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
RCMT,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BFST,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
FDP,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BSVN,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
AIFU,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
YEXT,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
RRX,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BIPC,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ACHR,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
EMAT,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TDC,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
PTLE,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
MTB,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ELTK,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TNET,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
DYOR,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
HMH,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
IMRX,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
MIND,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SPHL,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
PFG,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
RMIX,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
IVR,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
FCEL,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BENF,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
HTLD,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
LUD,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BCSS,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BBCQ,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
HIT,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
GRMN,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BEEP,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
WING,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
PPLI,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ZKIN,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
OPK,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ONB,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
RXT,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TRAX,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ASAN,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
PBM,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
IMO,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
OPXS,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
HLX,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SKYW,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TSBK,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
MTVA,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SCZM,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
MXC,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
NGVT,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
DKS,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
UNCY,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
MNTK,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BJ,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
WHG,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
QURE,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
DGICB,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ASIC,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
CINF,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BZAI,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
OPTH,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TCBK,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
NOG,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BCHT,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
COPL,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
STRL,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BKTI,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
IBN,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TRMB,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
PCRX,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
UBS,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ALM,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
GRC,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SSBI,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BKKT,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
VACI,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ELVN,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
WYNN,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
RAVE,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
MAGN,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
CWAN,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
CLBR,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
MGRC,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
ICUI,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
IKT,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
LAWR,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BRUN,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
EQT,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
LTH,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
DLX,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
BATRA,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
COR,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
DG,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
INTJ,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
SI,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
WBUY,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
CRVS,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
NN,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
CELC,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
AKA,Tier 3,nasdaqtrader_otherlisted,Mid Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
TECH,Tier 3,nasdaqtrader_nasdaq,Small Cap,35,opportunistic,exchange-listed common stock filler; market-cap bucket remains provisional until provider health rows exist
